ocupacion_isco08,jornada,tipo_contrato,renta_neta_salarial
82.0,Tiempo completo,Temporal escrito,14811.7
31.0,Tiempo completo,Temporal escrito,20324.5
42.0,Tiempo completo,Indefinido escrito,22082.3
33.0,Tiempo completo,Indefinido escrito,31052.2
24.0,Tiempo completo,Indefinido escrito,62787.9
41.0,Tiempo completo,Indefinido escrito,21375.8
12.0,Tiempo completo,Indefinido escrito,66509.8
44.0,Tiempo completo,Indefinido escrito,19286.4
23.0,Tiempo completo,Indefinido escrito,21581.2
26.0,Tiempo completo,Indefinido escrito,24520.4
42.0,Tiempo completo,Indefinido escrito,30874.7
23.0,Tiempo completo,Temporal escrito,17844.3
54.0,Tiempo completo,Indefinido escrito,35117.7
43.0,Tiempo completo,Temporal escrito,14768.5
22.0,Tiempo completo,Temporal escrito,39351.4
33.0,Tiempo completo,Indefinido escrito,34865.4
54.0,Tiempo completo,Indefinido escrito,15810.4
54.0,Tiempo completo,Indefinido escrito,19158.7
23.0,Tiempo completo,Indefinido escrito,28407.8
32.0,Tiempo completo,Indefinido escrito,8698.6
22.0,Tiempo completo,Indefinido escrito,15568.7
23.0,Tiempo completo,Indefinido escrito,36104.6
43.0,Tiempo completo,Indefinido escrito,27581.8
83.0,Tiempo completo,Indefinido escrito,15794.0
52.0,Tiempo completo,Indefinido escrito,22946.4
33.0,Tiempo completo,Indefinido escrito,12066.7
22.0,Tiempo completo,Indefinido escrito,35591.5
31.0,Tiempo completo,Indefinido escrito,30245.8
23.0,Tiempo parcial,Indefinido escrito,26070.9
21.0,Tiempo completo,Indefinido escrito,39384.7
42.0,Tiempo completo,Indefinido escrito,22242.9
33.0,Tiempo completo,Indefinido escrito,30436.2
91.0,Tiempo completo,Indefinido escrito,11231.72
35.0,Tiempo completo,Indefinido escrito,39972.9
24.0,Tiempo completo,Temporal escrito,876.0
41.0,Tiempo completo,Indefinido escrito,11520.3
71.0,Tiempo completo,Indefinido escrito,20548.8
54.0,Tiempo completo,Indefinido escrito,15977.9
33.0,Tiempo completo,Indefinido escrito,24795.7
25.0,Tiempo completo,Indefinido escrito,22900.7
91.0,Tiempo parcial,Indefinido escrito,6905.6
24.0,Tiempo completo,Indefinido escrito,28588.6
71.0,Tiempo completo,Indefinido escrito,20639.2
35.0,Tiempo completo,Indefinido escrito,23740.1
41.0,Tiempo completo,Indefinido escrito,15830.2
3.0,Tiempo completo,Indefinido escrito,34395.6
71.0,Tiempo completo,Indefinido escrito,16115.38
21.0,Tiempo completo,Indefinido escrito,75288.9
35.0,Tiempo completo,Indefinido escrito,30715.0
22.0,Tiempo completo,Indefinido escrito,35693.6
54.0,Tiempo completo,Indefinido escrito,17564.2
81.0,Tiempo completo,Indefinido escrito,8696.4
33.0,Tiempo completo,Indefinido escrito,32373.6
41.0,Tiempo completo,Indefinido escrito,19055.0
35.0,Tiempo completo,Indefinido escrito,29571.2
83.0,Tiempo completo,Indefinido escrito,16545.2
25.0,Tiempo completo,Indefinido escrito,42422.8
21.0,Tiempo completo,Indefinido escrito,10392.2
74.0,Tiempo completo,Indefinido escrito,25711.1
35.0,Tiempo completo,Temporal escrito,9748.7
41.0,Tiempo completo,Indefinido escrito,30521.9
93.0,Tiempo completo,Indefinido escrito,22417.6
61.0,Tiempo completo,Indefinido escrito,20800.3
24.0,Tiempo completo,Indefinido escrito,33926.8
51.0,Tiempo completo,Temporal escrito,14107.3
33.0,Tiempo completo,Indefinido escrito,30121.5
