DB010,DB020,DB030,DB040,DB040_F,DB090,DB090_F,DB100,DB100_F
2025,ES,405,ES53,1,322.52367,1,1,1
2025,ES,406,ES53,1,812.74537,1,1,1
2025,ES,407,ES53,1,1153.02121,1,1,1
2025,ES,410,ES53,1,328.33938,1,1,1
2025,ES,411,ES53,1,300.88495,1,1,1
2025,ES,413,ES53,1,436.48707,1,1,1
2025,ES,414,ES53,1,1057.89535,1,1,1
2025,ES,415,ES53,1,267.54110,1,1,1
2025,ES,416,ES53,1,255.00963,1,1,1
2025,ES,418,ES53,1,781.34944,1,1,1
2025,ES,419,ES53,1,312.20602,1,1,1
2025,ES,420,ES53,1,2296.81080,1,1,1
2025,ES,422,ES53,1,193.34281,1,1,1
2025,ES,423,ES53,1,550.23973,1,1,1
2025,ES,424,ES53,1,593.32968,1,1,1
2025,ES,425,ES53,1,328.33938,1,1,1
2025,ES,426,ES53,1,570.50653,1,1,1
2025,ES,427,ES53,1,196.85714,1,1,1
2025,ES,428,ES53,1,373.31767,1,1,1
2025,ES,429,ES53,1,570.50653,1,2,1
2025,ES,430,ES53,1,593.32968,1,1,1
2025,ES,431,ES53,1,327.55322,1,1,1
2025,ES,432,ES53,1,300.88495,1,1,1
2025,ES,433,ES53,1,709.72070,1,1,1
2025,ES,435,ES30,1,1221.16398,1,2,1
2025,ES,436,ES53,1,347.00669,1,1,1
2025,ES,437,ES53,1,561.82611,1,1,1
2025,ES,438,ES53,1,483.26482,1,1,1
2025,ES,439,ES53,1,619.38682,1,1,1
2025,ES,440,ES53,1,209.56867,1,1,1
2025,ES,441,ES53,1,730.48082,1,1,1
2025,ES,442,ES53,1,593.32968,1,1,1
2025,ES,443,ES53,1,193.39370,1,1,1
2025,ES,444,ES53,1,306.07683,1,2,1
2025,ES,445,ES53,1,309.86966,1,2,1
2025,ES,446,ES53,1,2336.52206,1,2,1
2025,ES,447,ES53,1,313.31802,1,2,1
2025,ES,448,ES53,1,224.41418,1,2,1
2025,ES,449,ES53,1,168.79784,1,2,1
2025,ES,450,ES53,1,151.50131,1,2,1
2025,ES,451,ES53,1,337.38358,1,2,1
2025,ES,453,ES53,1,485.34495,1,2,1
2025,ES,455,ES53,1,281.59512,1,2,1
2025,ES,456,ES53,1,176.20936,1,2,1
2025,ES,458,ES53,1,692.12520,1,2,1
2025,ES,459,ES53,1,2757.60660,1,3,1
2025,ES,460,ES53,1,1393.65315,1,3,1
2025,ES,461,ES53,1,1365.93632,1,3,1
2025,ES,462,ES53,1,1725.81045,1,3,1
2025,ES,463,ES53,1,392.43822,1,3,1
2025,ES,464,ES53,1,2525.88496,1,3,1
2025,ES,465,ES53,1,437.15865,1,2,1
2025,ES,466,ES53,1,358.53438,1,2,1
2025,ES,467,ES53,1,401.56668,1,2,1
2025,ES,468,ES53,1,129.96926,1,2,1
2025,ES,469,ES53,1,833.91752,1,2,1
2025,ES,470,ES53,1,241.71483,1,2,1
2025,ES,471,ES53,1,258.03893,1,3,1
2025,ES,473,ES53,1,555.08012,1,3,1
2025,ES,474,ES53,1,216.51953,1,3,1
2025,ES,475,ES53,1,2261.15662,1,3,1
2025,ES,476,ES53,1,287.62056,1,3,1
2025,ES,477,ES53,1,168.93929,1,3,1
2025,ES,478,ES53,1,822.50709,1,3,1
